"kode_prov","nama_prov","kode_kabkota","nama_kabkota","kode_kecamatan","nama_kecamatan"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.161","CANTIGI"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.160","SINDANG"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.150","INDRAMAYU"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.140","BALONGAN"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.130","JATIBARANG"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.120","SLIYEG"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.110","JUNTINYUAT"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.101","KEDOKAN BUNDER"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.100","KARANGAMPEL"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.090","KRANGKENG"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.081","SUKAGUMIWANG"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.080","KERTASEMAYA"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.070","WIDASARI"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.061","TUKDANA"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.060","BANGODUA"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.050","LELEA"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.041","TERISI"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.040","CIKEDUNG"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.030","GABUSWETAN"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.020","KROYA"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.011","GANTAR"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.010","HAURGEULIS"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.190","PASAWAHAN"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.181","PANCALANG"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.180","MANDIRANCAN"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.171","CIGANDAMEKAR"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.170","CILIMUS"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.161","JAPARA"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.160","JALAKSANA"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.150","KRAMATMULYA"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.140","CIGUGUR"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.130","KUNINGAN"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.121","SINDANGAGUNG"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.120","GARAWANGI"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.111","MALEBER"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.110","LEBAKWANGI"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.101","CIPICUNG"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.100","CIAWIGEBANG"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.091","KALIMANGGIS"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.090","CIDAHU"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.081","CIMAHI"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.080","LURAGUNG"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.071","CIBEUREUM"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.070","CIBINGBIN"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.061","KARANGKANCANA"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.060","CIWARU"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.051","CILEBAK"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.050","SUBANG"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.040","SELAJAMBE"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.031","HANTARA"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.030","CINIRU"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.021","NUSAHERANG"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.020","KADUGEDE"
"32","Provinsi Jawa Barat","3208","Kab. Kuningan","3208.010","DARMA"
